Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY 50","12,906.45","12,916.75","12,805.20","12,821.05","-37.35","-0.29","2,393.54","15,101.53","13,145.85","7,511.10","6.51","8.95"
"GRASIM","850.20","864.75","847.05","863.80","20.70","2.46","18.68","160.37","873.80","385.05","9.20","10.74"
"M&M","722.00","736.80","720.00","730.35","10.40","1.44","38.62","281.55","745.50","245.40","35.60","22.31"
"HCLTECH","824.10","838.15","819.60","835.35","10.65","1.29","41.93","347.81","910.70","375.25","-24.61","-1.47"
"BAJAJ-AUTO","3,053.00","3,118.00","3,053.00","3,083.30","32.05","1.05","6.60","203.85","3,315.15","1,788.65","-2.98","6.50"
"DIVISLAB","3,485.50","3,513.25","3,465.00","3,500.00","30.55","0.88","4.65","162.42","3,637.80","1,626.00","96.16","15.05"
"SBILIFE","853.30","858.65","849.65","856.40","7.35","0.87","7.46","63.73","1,020.00","519.40","-10.69","9.96"
"AXISBANK","602.25","609.55","594.05","604.95","5.10","0.85","139.21","838.81","765.85","286.00","-19.58","22.62"
"ADANIPORTS","400.80","409.40","395.65","402.35","3.40","0.85","75.64","304.70","409.40","203.00","8.63","10.63"
"BAJFINANCE","4,655.00","4,754.75","4,640.00","4,727.90","38.15","0.81","25.94","1,218.86","4,923.40","1,783.00","15.36","43.54"
"WIPRO","351.00","353.50","347.20","352.30","2.30","0.66","35.49","124.39","381.70","159.40","48.31","3.68"
"TATASTEEL","546.00","548.45","541.50","544.15","2.90","0.54","52.45","285.59","558.65","250.85","28.29","33.24"
"TITAN","1,316.95","1,329.45","1,308.15","1,313.90","6.95","0.53","15.37","202.79","1,375.00","720.90","12.67","8.10"
"DRREDDY","4,810.00","4,862.80","4,773.80","4,831.95","25.65","0.53","9.00","434.06","5,512.65","2,495.05","62.92","-2.94"
"SHREECEM","23,949.00","24,075.60","23,700.00","23,809.15","110.35","0.47","0.27","64.15","25,355.00","15,410.00","13.16","16.57"
"SUNPHARMA","506.00","512.55","502.30","508.20","2.00","0.40","46.74","237.31","564.75","312.00","12.75","7.10"
"UPL","418.60","422.30","414.15","420.00","1.40","0.33","23.07","96.61","614.90","240.15","-22.47","-3.09"
"TATAMOTORS","171.60","172.95","171.05","171.95","0.50","0.29","167.30","287.83","201.70","63.50","5.23","28.61"
"BHARTIARTL","468.70","469.00","460.10","465.05","0.95","0.20","61.42","285.58","612.00","361.75","7.56","7.14"
"HDFC","2,197.15","2,214.80","2,187.65","2,195.50","4.15","0.19","20.44","449.74","2,499.90","1,473.45","-4.74","5.89"
"COALINDIA","124.60","125.00","123.35","124.10","0.15","0.12","48.53","60.29","214.60","109.55","-37.24","8.34"
"KOTAKBANK","1,875.00","1,877.10","1,855.00","1,863.95","1.50","0.08","24.26","452.13","1,948.40","1,001.00","16.18","31.55"
"CIPLA","734.00","740.50","728.40","731.75","0.10","0.01","33.17","243.37","829.05","355.30","52.91","-2.06"
"ITC","195.10","195.85","192.55","193.80","-0.05","-0.03","124.22","240.78","250.40","134.60","-22.22","14.98"
"GAIL","102.30","103.45","101.60","102.25","-0.05","-0.05","74.59","76.37","133.35","65.00","-18.20","19.59"
"ONGC","81.15","81.50","79.45","80.70","-0.10","-0.12","181.91","146.38","133.55","50.00","-38.04","18.33"
"HDFCLIFE","668.00","675.40","659.00","663.95","-1.15","-0.17","16.40","109.16","688.50","340.00","11.10","14.74"
"LT","1,130.00","1,134.95","1,111.15","1,113.95","-2.05","-0.18","31.41","352.69","1,383.70","661.00","-18.27","17.04"
